,b1_l,b2_l,b3_l,i1_l,i2_l,iii1_l,iii3_l,hg1_l,hg2_l,hg3_l,hg4_l,b1_r,b2_r,b3_r,i1_r,i2_r,iii1_r,iii3_r,hg1_r,hg2_r,hg3_r,hg4_r
0,0.738141485795,0.124283291539,0.71142202129,0.324546899836,0.111800446413,0.302844519033,0.654215295548,0.237740437564,0.284158214237,0.0650325279887,0.0872850027764,0.749084244547,0.127401765685,0.716465069093,0.335268100487,0.187497176067,0.293627683108,0.638692623844,0.235797214461,0.285174267475,0.0464848019877,0.0888702432634
1,0.754813608642,0.135549045239,0.723292708039,0.288591572898,0.151376985287,0.288157419044,0.679694649557,0.218741141373,0.278753609543,0.0524311256621,0.106290084904,0.756091536736,0.130904406157,0.720452548067,0.285768905975,0.151017994132,0.286292940683,0.694035822103,0.225033601526,0.287992360716,0.0576235259507,0.0985614419927
2,0.749682028897,0.135013372422,0.71823108088,0.286736660343,0.148715280037,0.285203601077,0.676857694338,0.217309872896,0.276486770291,0.0526438945672,0.10552000572,0.750062150262,0.132187374585,0.717251339231,0.284011926918,0.14946551854,0.283601369343,0.68989921508,0.223864585914,0.286123760289,0.056806904093,0.096141481902
3,0.748372109778,0.13556077894,0.717595228772,0.285702303424,0.147509580597,0.285502292544,0.679079433916,0.216993675936,0.277072313608,0.051995906634,0.101669009892,0.752275314029,0.130708389387,0.719010358972,0.284003134111,0.147689318159,0.284473307827,0.6903393212,0.223633854747,0.286790638973,0.0577383329357,0.0943447718996
4,0.750562976554,0.135557931755,0.71990471063,0.288016778744,0.148838626739,0.288671483231,0.682451504735,0.21756706605,0.278261447505,0.052478649286,0.103758823641,0.754345663145,0.132410317431,0.722129186179,0.286019290876,0.146787190911,0.286968927602,0.692650211921,0.225155198999,0.287386694171,0.058092848752,0.096014066956
5,0.749810804677,0.136053201064,0.719358082074,0.288455854417,0.152168103945,0.291419155356,0.683715273979,0.216507614361,0.27853897128,0.0528270274983,0.0988296746117,0.751925585335,0.133345010149,0.720162316682,0.286115373357,0.150253526081,0.288453001733,0.693160373188,0.224808174711,0.289269022984,0.0577528190011,0.0953251707008
6,0.74805676888,0.134752207228,0.720695495351,0.288590319531,0.156456412986,0.290665779245,0.683486565998,0.217063110871,0.280027661719,0.0526783752189,0.101720873542,0.754936772506,0.132645443767,0.722357376559,0.286112939505,0.155779424927,0.288065059512,0.693139326844,0.224839919994,0.290566196932,0.0580919752274,0.0965263684389
7,0.749526644344,0.135646979675,0.719357453311,0.287717150579,0.159685861761,0.288101755491,0.682319393363,0.216299710545,0.279846282863,0.0519969557268,0.0987889757273,0.754565725583,0.133759596683,0.721106238974,0.284007832159,0.157830749591,0.28609947837,0.692188192234,0.22331602011,0.288668928473,0.0574407768127,0.0934148292298
8,0.751112195606,0.134962751494,0.72033435933,0.286085486818,0.162746562049,0.287185377466,0.681930930511,0.214553220434,0.278955924086,0.0517749557945,0.0973718039367,0.754598386534,0.134143562777,0.720955823709,0.282225107493,0.158657351284,0.284628604733,0.691655220459,0.222302931789,0.287882011442,0.056576854031,0.0931268382476
9,0.745941770637,0.13404865283,0.71754904396,0.283075083542,0.160638711496,0.283357956028,0.681400418562,0.21203979465,0.275571656309,0.0509368678106,0.100390540195,0.752560285287,0.133072880305,0.720457620881,0.280319458026,0.157016900922,0.282333127645,0.691177515354,0.219562189237,0.284759425066,0.0569448451967,0.0960801142802
10,0.748594206861,0.134647257598,0.718628045898,0.280982499511,0.161218655248,0.282221465871,0.682230030958,0.210429659733,0.275065925187,0.0509996137389,0.0997694900951,0.753813599922,0.133547035295,0.72061838264,0.278680999274,0.156017519213,0.280928589512,0.69065194935,0.218238901855,0.282848252392,0.0565385158718,0.0944154254181
11,0.750598184833,0.13660948943,0.72071992768,0.279821948878,0.158957810512,0.282118697976,0.685385249017,0.209822343722,0.274260068812,0.0509339246123,0.0997740335648,0.75478914994,0.133938466439,0.722258188436,0.278340089123,0.154503236771,0.28052215827,0.691205917251,0.217691522315,0.282050972921,0.0573015114008,0.0916110032606
12,0.751674677116,0.135617819829,0.720039721542,0.278205010127,0.156482435824,0.282419724347,0.686577022166,0.208813330601,0.273124992773,0.0509592199,0.0966318089756,0.756824789,0.133782540611,0.722250286471,0.277128448208,0.153589810079,0.280782026568,0.692520632488,0.216879795838,0.281494742861,0.0558501726987,0.0909545722192
13,0.751432855384,0.136706906021,0.719732326786,0.276628463837,0.155678310718,0.280642884627,0.686718363091,0.207650726994,0.273364889016,0.0510246503324,0.0977731127702,0.756723294326,0.134675307056,0.722143987336,0.274876276912,0.151432833308,0.279238874736,0.692340915495,0.215326933873,0.280860247265,0.055579673653,0.0923276097093
14,0.752798769066,0.136783093324,0.719263582144,0.275672211254,0.1537101502,0.280316457862,0.686663398091,0.207550720444,0.272222483317,0.0512860159266,0.0951779311098,0.757695031912,0.134225058561,0.72150577497,0.273481812328,0.149124274407,0.278029470234,0.692535745476,0.213807329314,0.279516590266,0.0551444212854,0.0930885914541
15,0.750810991937,0.13653035834,0.717602944292,0.273681574787,0.150668288973,0.277798673351,0.684463701113,0.206428944883,0.270186639169,0.0509639012512,0.0949272228511,0.75467656688,0.134248896034,0.718366825511,0.270592719246,0.147331453645,0.275979776869,0.691737850111,0.212615064518,0.278201222448,0.0545148852923,0.0956244633514
16,0.748627581857,0.135787446131,0.717760023318,0.272443655304,0.148549732745,0.2771746517,0.683491193897,0.206042267916,0.269928571216,0.051208120034,0.0968770738078,0.753361756228,0.133913359284,0.719489038682,0.269992795652,0.145302224684,0.27704975806,0.690343779511,0.212833942055,0.277509881906,0.0558781531342,0.0944040588764
17,0.749279795121,0.136403113439,0.716941114521,0.270899340659,0.145899563991,0.276038651755,0.682928811326,0.205059942967,0.269588628096,0.0508732616198,0.0941137258069,0.75385002733,0.133921745542,0.719343717966,0.268566266765,0.143211500184,0.275848647492,0.691629933126,0.211078395516,0.276791323308,0.0558344451565,0.0945461403464
18,0.75219619614,0.136994491081,0.720805252312,0.272079012927,0.146318415268,0.277410561072,0.685311813479,0.205735965116,0.271304412659,0.0506787517695,0.0957999725652,0.758763122966,0.134413231769,0.722291152808,0.26872644515,0.141118596823,0.277559395011,0.69505734274,0.210516370432,0.276323707571,0.0553902419021,0.0923384084251
19,0.750331246901,0.136396896883,0.720755139524,0.27236385781,0.145389767015,0.277133526857,0.683974980377,0.205489616701,0.270349644314,0.0511025047673,0.0986585794594,0.75700381783,0.134572787313,0.71979570874,0.268067381935,0.139995932469,0.277323416749,0.694187534164,0.210251655923,0.275604347344,0.054572151021,0.094553933447
20,0.753889297464,0.136798880672,0.722575534426,0.272797227403,0.144188454827,0.277725995537,0.686064969524,0.205746191286,0.271220370818,0.050073085776,0.0972973082769,0.759301423446,0.134825791578,0.72302856283,0.269104795051,0.137705034488,0.278215799024,0.695166331868,0.210998809008,0.277525709868,0.0546205413322,0.0924843389728
21,0.749230209618,0.135281901173,0.71908340102,0.272579098501,0.141684959031,0.276376959445,0.682844724981,0.20500156425,0.26917332719,0.0512474654795,0.0968819254907,0.758229423864,0.133992852201,0.721152024587,0.267906159821,0.13617285503,0.277257305666,0.693902852811,0.210223912353,0.276524968424,0.0533030576048,0.0940496660669
22,0.754238367512,0.135730868014,0.72204947274,0.274484682338,0.141388640029,0.278090167947,0.682991361783,0.205811747445,0.269714528645,0.0499220983081,0.0973924179679,0.76170725394,0.134950793664,0.722628853907,0.270140758969,0.135098355349,0.279857023444,0.69553437793,0.211154551904,0.277369175601,0.0540551742058,0.0918976630969
23,0.75222245564,0.135062404557,0.720553561147,0.275295337856,0.141850925879,0.278688466774,0.68301702116,0.205520636481,0.270379125521,0.0510399994709,0.10129777257,0.758158205431,0.134872662644,0.721793911588,0.271055340187,0.13457921652,0.279558963535,0.69395899063,0.211609528848,0.276461779265,0.0539972478329,0.0905920392335
