,K1,K2,tau1,tau2
b1_l,0.545600872572,0.533904313728,0.219629690386,0.232145400464
b2_l,30.616820686,27.7608252727,9.46045259937,8.54161645556
b3_l,4.35788141304,4.39487403602,0.160391603736,0.161602667944
i1_l,0.20308032694,0.112568491844,2.01533559021,0.491837957537
i2_l,35.0701956752,34.9522149622,0.505871814205,0.503262533092
iii1_l,108.986018822,0.182896232948,3310.94919333,4.05509364138
iii3_l,0.106658720394,0.0951714147087,0.138241564726,0.152278427205
hg1_l,266.164712856,0.0254821312663,18985.0613451,0.278469496777
hg2_l,0.104991736062,0.00606315593413,3.06806705229,0.101420464542
hg3_l,-0.00357773500379,-0.0239725321777,0.143975652072,2.54938604738
hg4_l,2.08722896001,2.10530478609,0.372674095772,0.375504972658
b1_r,19.5653236889,19.6024016484,0.310445126407,0.312117759587
b2_r,13018.6614934,3913.87020825,983.931997234,295.015889117
b3_r,24.6872393758,24.7305488347,0.291912259855,0.293087199917
i1_r,6.48611009473,6.30326760014,2.26798483456,2.22746994547
i2_r,3773.89452905,-0.0340259785828,23996.7717055,-1.47216837973
iii1_r,6.13251545369,6.16158358495,0.421217240671,0.423282972799
iii3_r,109.328546047,0.103269703813,4868.50977193,1.47586562775
hg1_r,1.19442961925,0.411935972029,79.4973660741,75.3120572117
hg2_r,-2329.74323453,-699.130534959,599.775400377,177.320976311
hg3_r,345.558156238,104.207837457,938.058658178,285.894335935
hg4_r,-0.107380760893,-0.100241973194,0.757229254713,0.816614905399
