,K1,K2,tau1,tau2
b1_l,8.66709919471,8.67802660488,0.740192640302,0.746208724511
b2_l,17.9574551221,37.1326281,17.5316383766,38.8320327019
b3_l,-0.164354669575,-0.143644474525,0.209339034226,0.589336040943
i1_l,390.32649711,1319.78307885,224.286273057,765.042409039
i2_l,0.970414458597,1.08081397909,4.30358713367,4.7728844996
iii1_l,-18.1646487501,-18.3153000764,0.450089841357,0.452706335988
iii3_l,0.00825423181892,-0.0996620453536,0.0354831870843,0.611505865861
hg1_l,-0.0356915424555,-0.0564209612613,0.192083108986,0.414043921897
hg2_l,-8.47727654359,-8.54658843959,0.418904902701,0.42131988485
hg3_l,-0.00608494709289,35.1200601816,0.583205427612,26916.3443539
hg4_l,-0.0118057185564,0.0573134998129,0.0911703308725,4.88950825919
b1_r,-5.9169340719,-5.94055903793,0.822792642889,0.831051772797
b2_r,-1.14318717436,-1.11016167061,0.777022584779,0.78841908034
b3_r,0.0982640416101,99.4742570388,0.620624208482,9334.10417703
i1_r,31.5099408964,31.2851589792,1.11537859237,1.12908252799
i2_r,37.4565117233,37.1993734823,0.663419192162,0.666982898303
iii1_r,14.8530504449,14.8738272276,2.03199927694,2.06473322596
iii3_r,536.219236495,0.241596739137,24179.8869101,0.341211012004
hg1_r,0.130990615154,-0.0315991021638,0.488485160051,0.488478194037
hg2_r,71.8825515864,-0.151245109924,19131.499299,0.625177941872
hg3_r,0.16028996431,-0.00447324941691,5.07949292877,0.0884438177168
hg4_r,0.108122770814,0.186435212642,0.493368185421,10.2459803291
